# /nfs/research/super/conery/projects/pmms/apps/coho/data/popw.s2.dat
# N 599
0.100      0      0
0.101      0      0
0.102      0      0
0.103      0      0
0.104      0      0
0.105      0      0
0.106      0      0
0.107      0      0
0.108      0      0
0.109      0      0
0.110      0      0
0.111      0      0
0.112      0      0
0.113      0      0
0.114      0      0
0.115      0      0
0.116      0      0
0.117      0      0
0.118      0      0
0.119      0      0
0.120      0      0
0.121      0      0
0.122      0      0
0.123      0      0
0.124      0      0
0.125      0      0
0.126      0      0
0.127      0      0
0.128      0      0
0.129      0      0
0.130      0      0
0.131      0      0
0.132      0      0
0.133      0      0
0.134      0      0
0.135      0      0
0.136      0      0
0.137      0      0
0.138      0      0
0.139      0      0
0.140      0      0
0.141      0      0
0.142      0      0
0.143      0      0
0.144      0      0
0.145      0      0
0.146      0      0
0.147      0      0
0.148      0      0
0.149      0      0
0.150      0      0
0.151      0      0
0.152      0      0
0.153      0      0
0.154      1      0
0.155      0      1
0.156      0      1
0.157      0      1
0.158      0      1
0.159      0      1
0.160      0      1
0.161      0      1
0.162      0      1
0.163      0      1
0.164      0      1
0.165      0      1
0.166      0      1
0.167      0      1
0.168      0      1
0.169      1      1
0.170      0      2
0.171      0      2
0.172      0      2
0.173      1      2
0.174      1      3
0.175      1      4
0.176      0      5
0.177      0      5
0.178      0      5
0.179      0      5
0.180      0      5
0.181      0      5
0.182      0      5
0.183      0      5
0.184      0      5
0.185      1      5
0.186      1      6
0.187      2      7
0.188      0      9
0.189      2      9
0.190      0     11
0.191      3     11
0.192      1     14
0.193      3     15
0.194      5     18
0.195      3     23
0.196      3     26
0.197      3     29
0.198      5     32
0.199      3     37
0.200      2     40
0.201      3     42
0.202      5     45
0.203      6     50
0.204      4     56
0.205      8     60
0.206      7     68
0.207     11     75
0.208     13     86
0.209     10     99
0.210     14    109
0.211     11    123
0.212     12    134
0.213     19    146
0.214     15    165
0.215     16    180
0.216     23    196
0.217     23    219
0.218     28    242
0.219     43    270
0.220     44    313
0.221     40    357
0.222     43    397
0.223     57    440
0.224     54    497
0.225     55    551
0.226     69    606
0.227     69    675
0.228     82    744
0.229     89    826
0.230     88    915
0.231    101   1003
0.232    113   1104
0.233    110   1217
0.234    102   1327
0.235    145   1429
0.236    126   1574
0.237    155   1700
0.238    170   1855
0.239    188   2025
0.240    195   2213
0.241    242   2408
0.242    233   2650
0.243    225   2883
0.244    249   3108
0.245    276   3357
0.246    311   3633
0.247    319   3944
0.248    360   4263
0.249    352   4623
0.250    352   4975
0.251    410   5327
0.252    460   5737
0.253    463   6197
0.254    515   6660
0.255    552   7175
0.256    582   7727
0.257    611   8309
0.258    653   8920
0.259    653   9573
0.260    719  10226
0.261    792  10945
0.262    820  11737
0.263    887  12557
0.264    921  13444
0.265    929  14365
0.266    988  15294
0.267   1029  16282
0.268   1156  17311
0.269   1162  18467
0.270   1185  19629
0.271   1395  20814
0.272   1388  22209
0.273   1492  23597
0.274   1525  25089
0.275   1609  26614
0.276   1579  28223
0.277   1706  29802
0.278   1780  31508
0.279   1776  33288
0.280   1929  35064
0.281   2120  36993
0.282   2177  39113
0.283   2212  41290
0.284   2429  43502
0.285   2361  45931
0.286   2511  48292
0.287   2628  50803
0.288   2713  53431
0.289   2812  56144
0.290   2942  58956
0.291   3065  61898
0.292   3203  64963
0.293   3368  68166
0.294   3310  71534
0.295   3549  74844
0.296   3497  78393
0.297   3721  81890
0.298   3837  85611
0.299   3960  89448
0.300   4048  93408
0.301   4283  97456
0.302   4290 101739
0.303   4373 106029
0.304   4555 110402
0.305   4594 114957
0.306   4864 119551
0.307   5009 124415
0.308   5138 129424
0.309   5192 134562
0.310   5400 139754
0.311   5518 145154
0.312   5762 150672
0.313   5836 156434
0.314   5801 162270
0.315   6011 168071
0.316   6073 174082
0.317   6156 180155
0.318   6207 186311
0.319   6493 192518
0.320   6547 199011
0.321   6724 205558
0.322   6659 212282
0.323   6993 218941
0.324   6968 225934
0.325   7249 232902
0.326   7328 240151
0.327   7424 247479
0.328   7573 254903
0.329   7538 262476
0.330   7683 270014
0.331   7772 277697
0.332   7901 285469
0.333   8050 293370
0.334   8148 301420
0.335   8148 309568
0.336   8156 317716
0.337   8353 325872
0.338   8317 334225
0.339   8459 342542
0.340   8397 351001
0.341   8489 359398
0.342   8738 367887
0.343   8680 376625
0.344   8861 385305
0.345   8611 394166
0.346   8872 402777
0.347   8967 411649
0.348   8877 420616
0.349   8965 429493
0.350   9008 438458
0.351   9090 447466
0.352   9096 456556
0.353   9263 465652
0.354   9072 474915
0.355   9049 483987
0.356   8970 493036
0.357   9215 502006
0.358   9161 511221
0.359   9124 520382
0.360   8939 529506
0.361   9059 538445
0.362   8918 547504
0.363   8822 556422
0.364   9023 565244
0.365   8816 574267
0.366   8894 583083
0.367   8876 591977
0.368   9009 600853
0.369   8941 609862
0.370   8643 618803
0.371   8740 627446
0.372   8718 636186
0.373   8430 644904
0.374   8455 653334
0.375   8264 661789
0.376   8313 670053
0.377   8172 678366
0.378   8226 686538
0.379   7925 694764
0.380   8187 702689
0.381   8050 710876
0.382   7845 718926
0.383   7841 726771
0.384   7666 734612
0.385   7527 742278
0.386   7323 749805
0.387   7547 757128
0.388   7544 764675
0.389   7181 772219
0.390   7189 779400
0.391   6955 786589
0.392   6978 793544
0.393   6819 800522
0.394   6697 807341
0.395   6697 814038
0.396   6528 820735
0.397   6412 827263
0.398   6364 833675
0.399   6076 840039
0.400   6248 846115
0.401   6040 852363
0.402   5827 858403
0.403   5890 864230
0.404   5589 870120
0.405   5498 875709
0.406   5485 881207
0.407   5391 886692
0.408   5145 892083
0.409   5159 897228
0.410   4920 902387
0.411   5015 907307
0.412   4793 912322
0.413   4706 917115
0.414   4597 921821
0.415   4545 926418
0.416   4441 930963
0.417   4420 935404
0.418   4216 939824
0.419   4077 944040
0.420   4060 948117
0.421   4037 952177
0.422   3791 956214
0.423   3788 960005
0.424   3582 963793
0.425   3618 967375
0.426   3464 970993
0.427   3316 974457
0.428   3359 977773
0.429   3180 981132
0.430   3184 984312
0.431   2967 987496
0.432   2902 990463
0.433   2822 993365
0.434   2753 996187
0.435   2674 998940
0.436   2589 1001614
0.437   2544 1004203
0.438   2472 1006747
0.439   2336 1009219
0.440   2298 1011555
0.441   2210 1013853
0.442   2169 1016063
0.443   2195 1018232
0.444   2022 1020427
0.445   2002 1022449
0.446   1814 1024451
0.447   1894 1026265
0.448   1715 1028159
0.449   1698 1029874
0.450   1685 1031572
0.451   1563 1033257
0.452   1607 1034820
0.453   1493 1036427
0.454   1475 1037920
0.455   1416 1039395
0.456   1335 1040811
0.457   1295 1042146
0.458   1236 1043441
0.459   1206 1044677
0.460   1116 1045883
0.461   1084 1046999
0.462   1087 1048083
0.463   1005 1049170
0.464   1030 1050175
0.465    963 1051205
0.466    925 1052168
0.467    898 1053093
0.468    880 1053991
0.469    878 1054871
0.470    768 1055749
0.471    784 1056517
0.472    719 1057301
0.473    635 1058020
0.474    659 1058655
0.475    670 1059314
0.476    624 1059984
0.477    591 1060608
0.478    539 1061199
0.479    551 1061738
0.480    522 1062289
0.481    517 1062811
0.482    479 1063328
0.483    493 1063807
0.484    464 1064300
0.485    449 1064764
0.486    412 1065213
0.487    375 1065625
0.488    387 1066000
0.489    338 1066387
0.490    379 1066725
0.491    322 1067104
0.492    327 1067426
0.493    290 1067753
0.494    307 1068043
0.495    284 1068350
0.496    261 1068634
0.497    235 1068895
0.498    250 1069130
0.499    200 1069380
0.500    214 1069580
0.501    197 1069794
0.502    232 1069991
0.503    205 1070223
0.504    163 1070428
0.505    163 1070591
0.506    156 1070754
0.507    132 1070910
0.508    157 1071042
0.509    150 1071199
0.510    139 1071349
0.511    120 1071488
0.512    126 1071608
0.513    139 1071734
0.514    101 1071873
0.515    102 1071974
0.516     97 1072076
0.517    106 1072173
0.518     98 1072279
0.519    109 1072377
0.520     70 1072486
0.521     67 1072556
0.522     81 1072623
0.523     58 1072704
0.524     57 1072762
0.525     68 1072819
0.526     67 1072887
0.527     73 1072954
0.528     60 1073027
0.529     43 1073087
0.530     43 1073130
0.531     48 1073173
0.532     39 1073221
0.533     38 1073260
0.534     38 1073298
0.535     40 1073336
0.536     32 1073376
0.537     35 1073408
0.538     24 1073443
0.539     27 1073467
0.540     21 1073494
0.541     36 1073515
0.542     24 1073551
0.543     21 1073575
0.544     20 1073596
0.545     17 1073616
0.546     18 1073633
0.547     26 1073651
0.548     17 1073677
0.549     18 1073694
0.550     18 1073712
0.551     13 1073730
0.552     12 1073743
0.553      7 1073755
0.554     10 1073762
0.555     10 1073772
0.556     10 1073782
0.557      8 1073792
0.558     10 1073800
0.559     10 1073810
0.560      9 1073820
0.561     10 1073829
0.562      9 1073839
0.563      6 1073848
0.564      5 1073854
0.565      9 1073859
0.566      4 1073868
0.567      9 1073872
0.568      5 1073881
0.569      6 1073886
0.570      2 1073892
0.571      2 1073894
0.572      2 1073896
0.573      2 1073898
0.574      8 1073900
0.575      4 1073908
0.576      3 1073912
0.577      4 1073915
0.578      3 1073919
0.579      1 1073922
0.580      4 1073923
0.581      3 1073927
0.582      1 1073930
0.583      3 1073931
0.584      3 1073934
0.585      0 1073937
0.586      1 1073937
0.587      5 1073938
0.588      3 1073943
0.589      0 1073946
0.590      1 1073946
0.591      2 1073947
0.592      1 1073949
0.593      2 1073950
0.594      3 1073952
0.595      0 1073955
0.596      3 1073955
0.597      2 1073958
0.598      1 1073960
0.599      0 1073961
0.600      2 1073961
0.601      0 1073963
0.602      0 1073963
0.603      0 1073963
0.604      0 1073963
0.605      0 1073963
0.606      0 1073963
0.607      1 1073963
0.608      0 1073964
0.609      0 1073964
0.610      0 1073964
0.611      0 1073964
0.612      0 1073964
0.613      0 1073964
0.614      0 1073964
0.615      1 1073964
0.616      1 1073965
0.617      0 1073966
0.618      0 1073966
0.619      0 1073966
0.620      0 1073966
0.621      0 1073966
0.622      0 1073966
0.623      1 1073966
0.624      0 1073967
0.625      0 1073967
0.626      0 1073967
0.627      0 1073967
0.628      0 1073967
0.629      0 1073967
0.630      0 1073967
0.631      0 1073967
0.632      0 1073967
0.633      0 1073967
0.634      0 1073967
0.635      0 1073967
0.636      0 1073967
0.637      0 1073967
0.638      0 1073967
0.639      0 1073967
0.640      0 1073967
0.641      0 1073967
0.642      0 1073967
0.643      0 1073967
0.644      0 1073967
0.645      0 1073967
0.646      0 1073967
0.647      0 1073967
0.648      0 1073967
0.649      0 1073967
0.650      0 1073967
0.651      0 1073967
0.652      0 1073967
0.653      0 1073967
0.654      0 1073967
0.655      0 1073967
0.656      0 1073967
0.657      0 1073967
0.658      0 1073967
0.659      0 1073967
0.660      0 1073967
0.661      0 1073967
0.662      0 1073967
0.663      0 1073967
0.664      0 1073967
0.665      0 1073967
0.666      0 1073967
0.667      0 1073967
0.668      0 1073967
0.669      0 1073967
0.670      0 1073967
0.671      0 1073967
0.672      0 1073967
0.673      0 1073967
0.674      0 1073967
0.675      0 1073967
0.676      0 1073967
0.677      0 1073967
0.678      0 1073967
0.679      0 1073967
0.680      0 1073967
0.681      0 1073967
0.682      0 1073967
0.683      0 1073967
0.684      0 1073967
0.685      0 1073967
0.686      0 1073967
0.687      0 1073967
0.688      0 1073967
0.689      0 1073967
0.690      0 1073967
0.691      0 1073967
0.692      0 1073967
0.693      0 1073967
0.694      0 1073967
0.695      0 1073967
0.696      0 1073967
0.697      0 1073967
0.698      0 1073967
